program_id,program_name,credential,study_mode,school_domain,shape,status,adapter_classification,missing_course_count,validated_missing_count,import_status,revision_id,payload_sha256,zero_diff,warnings,blockers,source_url
2175TTCERT,Machinist Foundation,Certificate,Full-time,School of Energy,certificate with flat published curriculum,GREEN,none,1,1,active,364,6aebdab79b8390b7de062e7b31cec31695f3c9eb6a3ac4cbefb6a918828834eb,True,[],[],https://www.bcit.ca/programs/machinist-foundation-certificate-full-time-2175ttcert/
2230CERT,Millwright Foundation,Certificate,Full-time,School of Energy,certificate with flat published curriculum,GREEN,none,9,9,active,365,34d7f19ea22df13ad3c3d007acef043892fbddf601f9f8da4a3fad247cd4210c,True,[],[],https://www.bcit.ca/programs/millwright-foundation-certificate-full-time-2230cert/
2365CERT,Motorcycle Technician Foundation,Certificate,Full-time,School of Transportation,certificate with flat published curriculum,GREEN,none,11,11,active,366,4e3c2696dbf04c2cfa27247ff672ea1a6745218672f49bfbd87a42d120bee26f,True,[],[],https://www.bcit.ca/programs/motorcycle-technician-foundation-certificate-full-time-2365cert/
2410TTCERT,Power Engineering (General Program),Certificate,Full-time,School of Energy,certificate with flat published curriculum,GREEN,none,7,7,active,367,0764dff41eddc404135ca5fc37474e092d41e14066e68e94077079d73a705de1,True,[],[],https://www.bcit.ca/programs/power-engineering-general-program-certificate-full-time-2410ttcert/
2425CERT,Refrigeration and Air Conditioning Mechanic Foundation,Certificate,Full-time,School of Energy,certificate with flat published curriculum,GREEN,none,11,11,active,368,66df34ff4274a6a3d4b5f074717ff04d10e45692395a5bd3593c43dec35f104a,True,[],[],https://www.bcit.ca/programs/refrigeration-and-air-conditioning-mechanic-foundation-certificate-full-time-2425cert/
2505ACERTS,Master 150GT Domestic,Associate Certificate,Part-time,School of Transportation,associate certificate with flat published curriculum,GREEN,none,2,2,active,369,e976ca353c8e71a09e3368cc84688512e32ad049f4884c8bbb07b0c94a646bf3,True,[],[],https://www.bcit.ca/programs/master-150gt-domestic-associate-certificate-part-time-2505acerts/
2515ACERTS,Master 500GT Domestic,Associate Certificate,Part-time,School of Transportation,associate certificate with flat published curriculum,GREEN,none,3,3,active,370,cd21413d7b1be1fa45d22929a6acc28e057827263e9c1368b334bedbb53f4427,True,[],[],https://www.bcit.ca/programs/master-500gt-domestic-associate-certificate-part-time-2515acerts/
2522CERTTS,Master 3000GT Domestic,Certificate,Part-time,School of Transportation,certificate with flat published curriculum,GREEN,none,4,4,active,371,181f6d3a68ca13f40b3c1244ca525f5cd3a97dc9275e985d1d164b79b4b09b8d,True,[],[],https://www.bcit.ca/programs/master-3000gt-domestic-certificate-part-time-2522certts/
2885ADVDIP,Marine Engineering,Advanced Diploma,Full-time,School of Transportation,advanced diploma with flat published curriculum,GREEN,none,10,10,active,372,fb0c230cce1ad60d31ad096d448163bbf462a3c986134d4d70ebc38b0cfc5b93,True,[],[],https://www.bcit.ca/programs/marine-engineering-advanced-diploma-full-time-2885advdip/
2933ACERT,Bridge Watch Rating,Associate Certificate,Full-time,School of Transportation,associate certificate with flat published curriculum,GREEN,none,1,1,active,373,a8eb7240c477806ef963f74d4619d3aa380f4161df98e38e9d60475e0e2d7381,True,[],[],https://www.bcit.ca/programs/bridge-watch-rating-associate-certificate-full-time-2933acert/
2945DIPMA,Industrial Instrumentation and Process Control Technician,Diploma,Full-time,School of Energy,diploma with flat published curriculum,GREEN,none,19,19,active,374,9bbafff78ee58f2a7297e4ffb47eefbf79867da0b417eab3c25f0cac5b4b5175,True,[],[],https://www.bcit.ca/programs/industrial-instrumentation-and-process-control-technician-diploma-full-time-2945dipma/
2958CERT,"Heating, Ventilation, Air Conditioning and Refrigeration Technician",Certificate,Full-time,School of Energy,certificate with flat published curriculum,GREEN,none,23,23,active,375,5853f68cb9ffd2b53ae32fd1b72ff82f8d0e67cfe46c2d542f4207f350090316,True,[],[],https://www.bcit.ca/programs/heating-ventilation-air-conditioning-and-refrigeration-technician-certificate-full-time-2958cert/
2992DIPMA,"Heating, Ventilation, Air Conditioning and Refrigeration Technician",Diploma,Full-time,School of Energy,diploma with flat published curriculum,GREEN,none,26,26,active,376,56cc3500b303fbde38c59dc9a1cd547b16ab898550415424e477a7b1bc529564,True,[],[],https://www.bcit.ca/programs/heating-ventilation-air-conditioning-and-refrigeration-technician-diploma-full-time-2992dipma/
5125ACERT,Business of Sawmilling,Associate Certificate,Part-time,School of Construction and the Environment,associate certificate with flat published curriculum,GREEN,none,5,5,active,377,6359a3bf0b71a53c413ce3c03a635c46004971565b63ed52953b78546aab36df,True,[],[],https://www.bcit.ca/programs/business-of-sawmilling-associate-certificate-part-time-5125acert/
5145ADCERT,Sustainable Business,Advanced Certificate,Part-time,School of Business + Media,advanced certificate with credit pool,YELLOW,existing Batch 01 connector/pathway adapter; no new code,2,2,active,378,042dced850cfe7ebad41109d547913a98c299e61a42e9becfe82780a6303bdc5,True,[],[],https://www.bcit.ca/programs/sustainable-business-advanced-certificate-part-time-5145adcert/
515GACERT,Building Construction Technology,Associate Certificate,Part-time,School of Construction and the Environment,associate certificate with flat published curriculum,GREEN,none,0,0,active,379,d18c0bb424a9d67a69007630661cdce4ccd8f86ddcaa1d4f2e469fc52afaeeaf,True,[],[],https://www.bcit.ca/programs/building-construction-technology-associate-certificate-part-time-515gacert/
5170ACERT,Healthcare Unit Clerk,Associate Certificate,Part-time,School of Business + Media,associate certificate with flat published curriculum,GREEN,none,0,0,active,380,e4fbfa5682f1c85ab3b4288dab80be41eb51b0e4c751b02ec58198efd4e22431,True,[],[],https://www.bcit.ca/programs/healthcare-unit-clerk-associate-certificate-part-time-5170acert/
5180ADVDIP,Sustainable Business Leadership,Advanced Diploma,Full-time,School of Business + Media,advanced diploma with flat published curriculum,GREEN,none,3,3,active,381,5d4eb9b8811e3df392da14d35592c965f5481eddb1750b0c313060ce28f2d216,True,[],[],https://www.bcit.ca/programs/sustainable-business-leadership-advanced-diploma-full-time-5180advdip/
5180PADVDIP,Sustainable Business Leadership,Advanced Diploma,Part-time,School of Business + Media,advanced diploma with flat published curriculum,GREEN,none,3,3,active,382,1428ee1e0193bc8ec0ae5376832bfbd00f5002602d9cbfb5e6f52fbda9c9bca9,True,[],[],https://www.bcit.ca/programs/sustainable-business-leadership-advanced-diploma-part-time-5180padvdip/
5205ACERT,Business Analysis,Associate Certificate,Part-time,School of Business + Media,associate certificate with credit pool,YELLOW,existing Batch 01 connector/pathway adapter; no new code,4,4,active,383,4ca9d25a2dabc3fd28faf18834bfa0e97f5e89e5d75bb3683f580fd9b1a33e2c,True,[],[],https://www.bcit.ca/programs/business-analysis-associate-certificate-part-time-5205acert/
5225ACERT,Construction of Mass Timber Structures,Associate Certificate,Part-time,School of Construction and the Environment,associate certificate with flat published curriculum,GREEN,none,5,5,active,384,8647be7e9aa016ee0ad7b4aca7e1b5990ef508e3fd233aacb03ef698e49894d6,True,[],[],https://www.bcit.ca/programs/construction-of-mass-timber-structures-associate-certificate-part-time-5225acert/
5235ADCERT,Building Energy Modelling and Performance Analysis,Advanced Certificate,Part-time,School of Construction and the Environment,advanced certificate with flat published curriculum,GREEN,none,7,7,active,385,01cbbea9edcc7aa99434b94d346da9a7dcfa16d0d93cf404f2149552b4c92e2d,True,[],[],https://www.bcit.ca/programs/building-energy-modelling-and-performance-analysis-advanced-certificate-part-time-5235adcert/
5245ACERT,Artificial Intelligence Management,Associate Certificate,Part-time,School of Business + Media,associate certificate with flat published curriculum,GREEN,none,2,2,active,386,cac10f88ad5e2adb3e1f71d4787a7c97793bf54bc92bbae23ec51815fdc3ba39,True,[],[],https://www.bcit.ca/programs/artificial-intelligence-management-associate-certificate-part-time-5245acert/
5265DIPMA,Industrial Network Cybersecurity,Diploma,Full-time,School of Energy,diploma with flat published curriculum,GREEN,none,25,25,active,387,f5c5de5dbbff6a45600d68aff2611a187c08fc8274b1c269c736e8c44708b77e,True,[],[],https://www.bcit.ca/programs/industrial-network-cybersecurity-diploma-full-time-5265dipma/
528AADCERT,Forensic Investigation (Crime and Intelligence Analysis Option),Advanced Certificate,Part-time,School of Computing and Academic Studies,advanced certificate with credit pool,YELLOW,existing Batch 01 connector/pathway adapter; no new code,3,3,active,388,35f0ab741b03dcf3b550591044912f98fee3b94c7a7f980e878c1153a6e4117f,True,[],[],https://www.bcit.ca/programs/forensic-investigation-crime-and-intelligence-analysis-option-advanced-certificate-part-time-528aadcert/
528BADCERT,Forensic Investigation (Forensic Science Option),Advanced Certificate,Part-time,School of Computing and Academic Studies,"advanced certificate with published alternatives or pathways, credit pool",YELLOW,existing Batch 01 connector/pathway adapter; no new code,8,8,active,389,79c9137e8bd4fe096727c9b48daec3a0d4e5f615c16f04323bd8049a5b9bf222,True,[],[],https://www.bcit.ca/programs/forensic-investigation-forensic-science-option-advanced-certificate-part-time-528badcert/
528CADCERT,Forensic Investigation (Digital Forensics and Cybersecurity Option),Advanced Certificate,Part-time,School of Computing and Academic Studies,"advanced certificate with published alternatives or pathways, credit pool, non-course component",YELLOW,existing Batch 01 connector/pathway adapter; no new code,11,11,active,390,e791f8e7ecad277c631f59fc4ad09bdf2927b6cf7e8dec6ee95e1ae5fec632db,True,[],[],https://www.bcit.ca/programs/forensic-investigation-digital-forensics-and-cybersecurity-option-advanced-certificate-part-time-528cadcert/
5295ACERT,Business Data Management,Associate Certificate,Part-time,School of Business + Media,associate certificate with flat published curriculum,GREEN,none,2,2,active,391,22bae6aba2b1ed273b749d3b92d671b9b40101940c58f580fbeff872933162b1,True,[],[],https://www.bcit.ca/programs/business-data-management-associate-certificate-part-time-5295acert/
5320ADCERT,Cardiac Sciences (Electrophysiology Technology Option),Advanced Certificate,Part-time,School of Health Sciences,advanced certificate with clinical placement,GREEN,none,0,0,active,392,459d128336632d74de7a2e75c4e6655fb7a060ec27b1c8e6d101aa81d3f97d86,True,[],[],https://www.bcit.ca/programs/cardiac-sciences-electrophysiology-technology-option-advanced-certificate-part-time-5320adcert/
5325ACERT,Foundations in Occupational Health and Safety,Associate Certificate,Part-time,School of Health Sciences,associate certificate with published alternatives or pathways,YELLOW,existing Batch 01 connector/pathway adapter; no new code,0,0,active,393,acbbedfaa437839d887dc4e83074741cc43fb14e4ffb2be7f0f79bbd9d3bc5c7,True,[],[],https://www.bcit.ca/programs/foundations-in-occupational-health-and-safety-associate-certificate-part-time-5325acert/
5330ADCERT,Cardiac Sciences (Cardiac Rhythm Device Technology Option),Advanced Certificate,Part-time,School of Health Sciences,advanced certificate with clinical placement,GREEN,none,0,0,active,394,198cbb1103d84a3d9fc52bfc8edd21216cfe9fd26a49fe22bed6e5ec9ecd3fd4,True,[],[],https://www.bcit.ca/programs/cardiac-sciences-cardiac-rhythm-device-technology-option-advanced-certificate-part-time-5330adcert/
534CDIPMA,Electrical and Computer Engineering Technology (Telecommunications and Networks Option),Diploma,Full-time,School of Energy,diploma with published alternatives or pathways,YELLOW,existing Batch 01 connector/pathway adapter; no new code,9,9,active,395,33bc894f25e3d02259e47691c1f57c90652c866d124acc4a2eca4faa58a4875c,True,[],[],https://www.bcit.ca/programs/electrical-and-computer-engineering-technology-telecommunications-and-networks-option-diploma-full-time-534cdipma/
5365ACERT,Digital Media Foundations,Associate Certificate,Part-time,School of Business + Media,associate certificate with published alternatives or pathways,YELLOW,existing Batch 01 connector/pathway adapter; no new code,3,3,active,396,38813e49bfa8f664a6835559d6f26741c8a1ad772f99dcf53acaabbe8a859b91,True,[],[],https://www.bcit.ca/programs/digital-media-foundations-associate-certificate-part-time-5365acert/
5430ACERT,Civil Technology,Associate Certificate,Part-time,School of Construction and the Environment,"associate certificate with published alternatives or pathways, credit pool",YELLOW,existing Batch 01 connector/pathway adapter; no new code,12,12,active,397,a55f20332800b370e94ce93597b401e792ee25010d852be0793fcf1fb8ba5c22,True,[],[],https://www.bcit.ca/programs/civil-technology-associate-certificate-part-time-5430acert/
5440ADCERT,Geographic Information Systems,Advanced Certificate,Part-time,School of Construction and the Environment,advanced certificate with flat published curriculum,GREEN,none,0,0,active,398,89a9c75cbdf9ba8ab902fc9c98a8240f66ec5cc6f0497035769bf227f522a552,True,[],[],https://www.bcit.ca/programs/geographic-information-systems-advanced-certificate-part-time-5440adcert/
5500CERT,Computer Systems,Certificate,Part-time,School of Computing and Academic Studies,"certificate with published alternatives or pathways, credit pool, non-course component",YELLOW,existing Batch 01 connector/pathway adapter; no new code,0,0,active,399,e092eb18481c86fc6f54fb8742045ad090848cb10a5e9bfcdf695c0eac8a2539,True,[],[],https://www.bcit.ca/programs/computer-systems-certificate-part-time-5500cert/
5515ACERT,Applied Network Administration and Design,Associate Certificate,Part-time,School of Computing and Academic Studies,associate certificate with credit pool,YELLOW,existing Batch 01 connector/pathway adapter; no new code,1,1,active,400,ff47f42d9e98e9d415b145ff8b78a8677c70ca39f7eea21849a841e6ad294c25,True,[],[],https://www.bcit.ca/programs/applied-network-administration-and-design-associate-certificate-part-time-5515acert/
5530ACERT,Agile Development,Associate Certificate,Part-time,School of Computing and Academic Studies,associate certificate with credit pool,YELLOW,existing Batch 01 connector/pathway adapter; no new code,0,0,active,401,b74766a635694d659e13c6876c8dfbeeb61da2576dd248c96ad49573b93a7e23,True,[],[],https://www.bcit.ca/programs/agile-development-associate-certificate-part-time-5530acert/
5570ACERT,Computer Aided Design (CAD) Technology,Associate Certificate,Part-time,School of Energy,associate certificate with credit pool,YELLOW,existing Batch 01 connector/pathway adapter; no new code,0,0,active,402,bb36f3c57cb562fbf0449258596a26a37d1fa07fd8558ca02e0fc95e629aac54,True,[],[],https://www.bcit.ca/programs/computer-aided-design-cad-technology-associate-certificate-part-time-5570acert/
5755ACERT,Occupational Health and Safety Practitioners,Associate Certificate,Part-time,School of Health Sciences,associate certificate with flat published curriculum,GREEN,none,3,3,active,403,e0a8fa7166e599d144017fe4c9dba6d5961a2a6a57e690d63b98f6ebb0f6ec75,True,[],[],https://www.bcit.ca/programs/occupational-health-and-safety-practitioners-associate-certificate-part-time-5755acert/
585IACERT,Financial Management (Financial Planning),Associate Certificate,Part-time,School of Business + Media,associate certificate with flat published curriculum,GREEN,none,0,0,active,404,deb99eb79c571d3193e9323ec9c2ecf9b63e6657020eb3f45f64ff51a889022e,True,[],[],https://www.bcit.ca/programs/financial-management-financial-planning-associate-certificate-part-time-585iacert/
6005ACERT,Payroll and Human Resources,Associate Certificate,Part-time,School of Business + Media,associate certificate with credit pool,YELLOW,existing Batch 01 connector/pathway adapter; no new code,0,0,active,405,2b1f577e330b26d52820a1f9a1539e42c4bbb4067b634cace0a8dd3bbf1eea59,True,[],[],https://www.bcit.ca/programs/payroll-and-human-resources-associate-certificate-part-time-6005acert/
605DDIPMA,Technology Teacher Education,Diploma,Full-time,School of Energy,diploma with flat published curriculum,GREEN,none,33,33,active,406,0b8e60070d761614a4bef4e443026ac0727681ade3012c0cc1077c7c0ffec14b,True,[],[],https://www.bcit.ca/programs/technology-teacher-education-diploma-full-time-605ddipma/
6115ACERT,Broadcast and Digital Journalism,Associate Certificate,Part-time,School of Business + Media,associate certificate with credit pool,YELLOW,existing Batch 01 connector/pathway adapter; no new code,1,1,active,407,c1a41733b7dd3641fc4291bf2c5d8cb200806a2476890312a75617b3c4ee0d7b,True,[],[],https://www.bcit.ca/programs/broadcast-and-digital-journalism-associate-certificate-part-time-6115acert/
6120ACERT,Video Production and Editing,Associate Certificate,Part-time,School of Business + Media,associate certificate with credit pool,YELLOW,existing Batch 01 connector/pathway adapter; no new code,2,2,active,408,72ddb4360cbbc388c0f5d58fc325ee833f36f79625e75a5b0a963e68955dbe45,True,[],[],https://www.bcit.ca/programs/video-production-and-editing-associate-certificate-part-time-6120acert/
6125ACERT,Radio Arts and Entertainment,Associate Certificate,Part-time,School of Business + Media,associate certificate with credit pool,YELLOW,existing Batch 01 connector/pathway adapter; no new code,1,1,active,409,36144632cd915bab3642fd4ed706fef56378186f1040fd1bf1db859113eaa45e,True,[],[],https://www.bcit.ca/programs/radio-arts-and-entertainment-associate-certificate-part-time-6125acert/
6265ACERT,Lean Six Sigma Principles,Associate Certificate,Part-time,School of Business + Media,associate certificate with flat published curriculum,GREEN,none,2,2,active,410,e5cd28c63ad5fa35147921bd97a6789712561a6b636e4c2bb1cff7a1b1e14e47,True,[],[],https://www.bcit.ca/programs/lean-six-sigma-principles-associate-certificate-part-time-6265acert/
630DACERT,Marketing Management - Marketing Communications,Associate Certificate,Part-time,School of Business + Media,associate certificate with credit pool,YELLOW,existing Batch 01 connector/pathway adapter; no new code,0,0,active,411,8fd9431eb422ddd793caeb6e37a04d9feb0bb3f30c5c1bdbed9439ea940d6f56,True,[],[],https://www.bcit.ca/programs/marketing-management-marketing-communications-associate-certificate-part-time-630dacert/
6310ACERT,Nonprofit Management,Associate Certificate,Part-time,School of Business + Media,associate certificate with credit pool,YELLOW,existing Batch 01 connector/pathway adapter; no new code,1,1,active,412,d111f6fafc609ac59a540db6f768950c3bf59d8581a6bedc113f5f9de7d142f8,True,[],[],https://www.bcit.ca/programs/nonprofit-management-associate-certificate-part-time-6310acert/
6315ACERT,Event Marketing and Planning Foundations,Associate Certificate,Part-time,School of Business + Media,associate certificate with flat published curriculum,GREEN,none,2,2,active,413,d47de2178f1405f3e893bc778d184600966526ac28bb26c36468152846e34dde,True,[],[],https://www.bcit.ca/programs/event-marketing-and-planning-foundations-associate-certificate-part-time-6315acert/
635CDIPLT,Mechanical Engineering Technology (Mechanical Systems Option),Diploma,Full-time,School of Energy,diploma with published alternatives or pathways,YELLOW,existing Batch 01 connector/pathway adapter; no new code,9,9,active,414,bc1e5e07bffa6cf923a30203266809df4a78103e8a40ba7d3373b7961fcc700a,True,[],[],https://www.bcit.ca/programs/mechanical-engineering-technology-mechanical-systems-option-diploma-full-time-635cdiplt/
6425ACERT,Technical Writing,Associate Certificate,Part-time,School of Computing and Academic Studies,associate certificate with flat published curriculum,GREEN,none,5,5,active,415,4ea455156b0f1a1590939161ec686e89802c8972f20b15d02fba61377c3b82d3,True,[],[],https://www.bcit.ca/programs/technical-writing-associate-certificate-part-time-6425acert/
6645ADCERT,Bridging Medical Radiography,Advanced Certificate,Part-time,School of Health Sciences,advanced certificate with clinical placement,GREEN,none,5,5,active,416,b6a0433ff888efefa2e13da609156c7fd1c940cdbeea5ccf2dc7e53e5184e5e9,True,[],[],https://www.bcit.ca/programs/bridging-medical-radiography-advanced-certificate-part-time-6645adcert/
675FACERT,Fire Protection Inspection and Testing,Associate Certificate,Part-time,School of Construction and the Environment,associate certificate with credit pool,YELLOW,existing Batch 01 connector/pathway adapter; no new code,2,2,active,417,4551d7772f6fee311564429d864235e20027b623998dd3aa3d3699af1eae975a,True,[],[],https://www.bcit.ca/programs/fire-protection-inspection-and-testing-associate-certificate-part-time-675facert/
680BASCERT,Pediatric Nursing Specialty (Standard Option),Advanced Certificate,Part-time,School of Health Sciences,"advanced certificate with published alternatives or pathways, credit pool, clinical placement",YELLOW,existing Batch 01 connector/pathway adapter; no new code,0,0,active,418,1e5df7aab634bd98ef1a5af77907b0ea7af9bd2edd3a615735b79b1c7a6abab2,True,[],[],https://www.bcit.ca/programs/pediatric-nursing-specialty-standard-option-advanced-certificate-part-time-680bascert/
680CASCERT,Perinatal Nursing Specialty (Standard Option),Advanced Certificate,Part-time,School of Health Sciences,"advanced certificate with credit pool, clinical placement",YELLOW,existing Batch 01 connector/pathway adapter; no new code,0,0,active,419,30c7490891563787e6bdbe9620bbad2abe85627c00d7a5713b33942da328ca58,True,[],[],https://www.bcit.ca/programs/perinatal-nursing-specialty-standard-option-advanced-certificate-part-time-680cascert/
680EASCERT,Emergency Nursing Specialty (Standard Option),Advanced Certificate,Part-time,School of Health Sciences,advanced certificate with clinical placement,GREEN,none,0,0,active,420,8a76dbc71b9d2daf9f733e97efcf892fba0d90e869fcb78e346668ac691412c1,True,[],[],https://www.bcit.ca/programs/emergency-nursing-specialty-standard-option-advanced-certificate-part-time-680eascert/
