program_id,program_name,credential,study_mode,school,shape,status,custom_code,missing_course_count,validated_missing_count,import_status,revision_id,payload_sha256,zero_diff,warnings,blockers,source_url
M500MENG,Smart Grid Systems and Technologies,Master of Engineering,Full-time/Part-time,School of Energy,graduate degree with capstone/elective alternatives,YELLOW,existing Batch 01 connector/pathway adapter; no new code,5,5,active,254,705929335b6d8992bb088ad5ee35b2c8db919c01c522f9f5f3aa17057bb3d37a,True,[],[],https://www.bcit.ca/programs/smart-grid-systems-and-technologies-master-of-engineering-full-time-part-time-m500meng/
0876CM,Applied Mass Timber Engineering,Microcredential,Part-time,School of Construction and the Environment,engineering microcredential for experienced professionals,GREEN,none,4,4,active,255,580c3d4d07c508918eec661f790ce90d4b8b971660e44af19176fadf6cd424f0,True,[],[],https://www.bcit.ca/programs/applied-mass-timber-engineering-microcredential-part-time-0876cm/
5670ADVDIP,Clinical Genetics Technology,Advanced Diploma,Full-time,School of Health Sciences,post-credential health program with clinical practicum,GREEN,none,17,17,active,256,4b30b0eee2f4a18cc4e4d01255dd9464c748e52ddbeb4502cbd29ae13c2ccf3c,True,[],[],https://www.bcit.ca/programs/clinical-genetics-technology-advanced-diploma-full-time-5670advdip/
576ADIPMA,Diagnostic Medical Sonography (General Sonography Option),Diploma,Full-time,School of Health Sciences,health option diploma with clinical placements,GREEN,none,26,26,active,257,51e35fa427e766e57889c8d2364d081a9d897dd8c4ec661cbfe4d03203abf851,True,[],[],https://www.bcit.ca/programs/diagnostic-medical-sonography-general-sonography-option-diploma-full-time-576adipma/
8520BENVH,Environmental Public Health,Bachelor of Environmental Public Health,Full-time,School of Health Sciences,"health bachelor with practicum, advanced entry and Liberal Studies pool",YELLOW,existing Batch 01 connector/pathway adapter; no new code,26,26,active,258,d0af5cd94e483228010f2e920c5d0eab2020cd77b06f0b516f16398aa059dbb2,True,[],[],https://www.bcit.ca/programs/environmental-public-health-bachelor-of-environmental-public-health-full-time-8520benvh/
6705DIPMA,Nuclear Medicine,Diploma,Full-time,School of Health Sciences,regulated health diploma with clinical terms,GREEN,none,32,32,active,259,a8847e07e72c6cced0772e3533e2b5bd0334b20e8f763f6c25fdcabbc306eb2a,True,[],[],https://www.bcit.ca/programs/nuclear-medicine-diploma-full-time-6705dipma/
100ADIPMA,Airline and Flight Operations Commercial Pilot (Fixed-Wing),Diploma,Full-time,School of Transportation,aviation diploma combining academic and external flight training,GREEN,none,38,38,active,260,85291ba7138b91ff911ffab182452e51bd5cb055c2452f2585b738b4163891f1,True,[],[],https://www.bcit.ca/programs/airline-and-flight-operations-commercial-pilot-fixed-wing-diploma-full-time-100adipma/
2536DIPMA,Nautical Sciences,Diploma,Full-time,School of Transportation,marine diploma with identifiable courses and alternating co-op sea terms,GREEN,none,22,22,active,261,b46fb59c055ea44d71ef4acccf1566866f607dfa6c188cbb4b118f6dd3db7cfe,True,[],[],https://www.bcit.ca/programs/nautical-sciences-diploma-full-time-2536dipma/
2942DIPMA,Marine Engineering,Diploma,Full-time,School of Transportation,marine engineering diploma with identifiable courses and co-op sea service,GREEN,none,36,36,active,262,893f08146ce0a1e4c8f81ac074407ba04fb80b45d6c65f46a0dc51fde5018b34,True,[],[],https://www.bcit.ca/programs/marine-engineering-diploma-full-time-2942dipma/
2430DIPMA,Power and Process Engineering,Diploma,Full-time,School of Energy,energy diploma with power-engineering certification,GREEN,none,40,40,active,263,288f022de8fe90d8db1706b534a801f011e51b2586af73a109f5ecb453536e7e,True,[],[],https://www.bcit.ca/programs/power-and-process-engineering-diploma-full-time-2430dipma/
8050BTECH,Architectural Science,Bachelor of Architectural Science,Full-time,School of Construction and the Environment,architecture degree with competitive continuation and electives,YELLOW,existing Batch 01 connector/pathway adapter; no new code,17,17,active,264,c255408535c221e69175d477df4866ad3c48694df015a7fd2e826471a0ae5431,True,[],[],https://www.bcit.ca/programs/architectural-science-bachelor-of-architectural-science-full-time-8050btech/
6140DIPMA,Residential Interiors,Diploma,Part-time,School of Construction and the Environment,Flexible Learning design diploma with laddering and electives,YELLOW,existing Batch 01 connector/pathway adapter; no new code,14,14,active,265,4c86e4d218432047359425dec035fbb65265189a7715b66b196dfd7beddc93bc,True,[],[],https://www.bcit.ca/programs/residential-interiors-diploma-part-time-6140dipma/
0864CM,Marine Business Essentials,Microcredential,Part-time,School of Transportation,short marine business Flexible Learning microcredential,GREEN,none,10,10,active,266,123b206b05e384dd10af9a6299aa7c6394eb3926dd72539b85e57a1b85ac73b7,True,[],[],https://www.bcit.ca/programs/marine-business-essentials-microcredential-part-time-0864cm/
5512CERT,Applied Data Analytics,Certificate,Part-time,School of Computing and Academic Studies,Flexible Learning analytics certificate with elective choices,YELLOW,existing Batch 01 connector/pathway adapter; no new code,2,2,active,267,516d6361e134b7c25200d546820370147c0442f22f827d15160899c99b578aff,True,[],[],https://www.bcit.ca/programs/applied-data-analytics-certificate-part-time-5512cert/
