program_id,program_name,classification,reason,official_course_reference_count,url
0500000000,Management Skills in Communication and Negotiation,non-program/special entry,Current catalog listing is a Statement of Completion or uses a NOBCIT/non-credential identifier.,5,https://www.bcit.ca/programs/management-skills-in-communication-and-negotiation-statement-of-completion-part-time-0500000000/
0520000000,Long-term Care Management,non-program/special entry,Current catalog listing is a Statement of Completion or uses a NOBCIT/non-credential identifier.,4,https://www.bcit.ca/programs/long-term-care-management-statement-of-completion-part-time-0520000000/
0700000000,House Inspection,non-program/special entry,Current catalog listing is a Statement of Completion or uses a NOBCIT/non-credential identifier.,6,https://www.bcit.ca/programs/house-inspection-statement-of-completion-part-time-0700000000/
0705000000,International Perfusionist Equivalency Assessment (IPEA),non-program/special entry,Current catalog listing is a Statement of Completion or uses a NOBCIT/non-credential identifier.,4,https://www.bcit.ca/programs/international-perfusionist-equivalency-assessment-ipea-statement-of-completion-part-time-0705000000/
3015APPR,Ironworker - Reinforcing,apprenticeship/training structure without identifiable course IDs,Current apprenticeship page publishes training levels/hours without identifiable BCIT course IDs.,0,https://www.bcit.ca/programs/ironworker-reinforcing-apprenticeship-full-time-3015appr/
3060APPR,Aircraft Structural Technician,apprenticeship/training structure without identifiable course IDs,Current apprenticeship page publishes training levels/hours without identifiable BCIT course IDs.,0,https://www.bcit.ca/programs/aircraft-structural-technician-apprenticeship-full-time-3060appr/
3120APPR,Automotive Collision and Refinishing Common Core,apprenticeship/training structure without identifiable course IDs,Current apprenticeship page publishes training levels/hours without identifiable BCIT course IDs.,0,https://www.bcit.ca/programs/automotive-collision-and-refinishing-common-core-apprenticeship-full-time-3120appr/
3130APPR,Auto Body and Collision Technician,apprenticeship/training structure without identifiable course IDs,Current apprenticeship page publishes training levels/hours without identifiable BCIT course IDs.,0,https://www.bcit.ca/programs/auto-body-and-collision-technician-apprenticeship-full-time-3130appr/
3140APPR,Automotive Refinishing Technician,apprenticeship/training structure without identifiable course IDs,Current apprenticeship page publishes training levels/hours without identifiable BCIT course IDs.,0,https://www.bcit.ca/programs/automotive-refinishing-technician-apprenticeship-full-time-3140appr/
3150APPR,Boilermaker,apprenticeship/training structure without identifiable course IDs,Current apprenticeship page publishes training levels/hours without identifiable BCIT course IDs.,0,https://www.bcit.ca/programs/boilermaker-apprenticeship-full-time-3150appr/
3230APPR,Carpentry,apprenticeship/training structure without identifiable course IDs,Current apprenticeship page publishes training levels/hours without identifiable BCIT course IDs.,0,https://www.bcit.ca/programs/carpentry-apprenticeship-full-time-3230appr/
3320APPR,Gasfitter - Class B,apprenticeship/training structure without identifiable course IDs,Current apprenticeship page publishes training levels/hours without identifiable BCIT course IDs.,0,https://www.bcit.ca/programs/gasfitter-class-b-apprenticeship-full-time-3320appr/
3330APPR,Gasfitter - Class A,apprenticeship/training structure without identifiable course IDs,Current apprenticeship page publishes training levels/hours without identifiable BCIT course IDs.,0,https://www.bcit.ca/programs/gasfitter-class-a-apprenticeship-full-time-3330appr/
3440APPR,Electrical,apprenticeship/training structure without identifiable course IDs,Current apprenticeship page publishes training levels/hours without identifiable BCIT course IDs.,0,https://www.bcit.ca/programs/electrical-apprenticeship-full-time-3440appr/
3660APPR,Transport Trailer Technician,apprenticeship/training structure without identifiable course IDs,Current apprenticeship page publishes training levels/hours without identifiable BCIT course IDs.,0,https://www.bcit.ca/programs/transport-trailer-technician-apprenticeship-full-time-3660appr/
3765APPR,Instrumentation and Control Technician,apprenticeship/training structure without identifiable course IDs,Current apprenticeship page publishes training levels/hours without identifiable BCIT course IDs.,0,https://www.bcit.ca/programs/instrumentation-and-control-technician-apprenticeship-full-time-3765appr/
3790APPR,Industrial Electrician,prior RED/holdback,Official matrix has apprenticeship levels and training credits but no course identifiers.,0,https://www.bcit.ca/programs/industrial-electrician-apprenticeship-full-time-3790appr/
3860APPR,Ironworker Generalist,apprenticeship/training structure without identifiable course IDs,Current apprenticeship page publishes training levels/hours without identifiable BCIT course IDs.,0,https://www.bcit.ca/programs/ironworker-generalist-apprenticeship-full-time-3860appr/
3940APPR,Machinist,apprenticeship/training structure without identifiable course IDs,Current apprenticeship page publishes training levels/hours without identifiable BCIT course IDs.,0,https://www.bcit.ca/programs/machinist-apprenticeship-full-time-3940appr/
4015APPR,Millwright,apprenticeship/training structure without identifiable course IDs,Current apprenticeship page publishes training levels/hours without identifiable BCIT course IDs.,0,https://www.bcit.ca/programs/millwright-apprenticeship-full-time-4015appr/
4025APPR,Motorcycle Technician,apprenticeship/training structure without identifiable course IDs,Current apprenticeship page publishes training levels/hours without identifiable BCIT course IDs.,0,https://www.bcit.ca/programs/motorcycle-technician-apprenticeship-full-time-4025appr/
4030APPR,Marine Fitter,apprenticeship/training structure without identifiable course IDs,Current apprenticeship page publishes training levels/hours without identifiable BCIT course IDs.,0,https://www.bcit.ca/programs/marine-fitter-apprenticeship-full-time-4030appr/
4045APPR,Truck and Transport Mechanic,apprenticeship/training structure without identifiable course IDs,Current apprenticeship page publishes training levels/hours without identifiable BCIT course IDs.,0,https://www.bcit.ca/programs/truck-and-transport-mechanic-apprenticeship-full-time-4045appr/
4160APPR,Plumber,apprenticeship/training structure without identifiable course IDs,Current apprenticeship page publishes training levels/hours without identifiable BCIT course IDs.,0,https://www.bcit.ca/programs/plumber-apprenticeship-full-time-4160appr/
4230APPR,Refrigeration,apprenticeship/training structure without identifiable course IDs,Current apprenticeship page publishes training levels/hours without identifiable BCIT course IDs.,0,https://www.bcit.ca/programs/refrigeration-apprenticeship-full-time-4230appr/
4365APPR,Sheet Metal,apprenticeship/training structure without identifiable course IDs,Current apprenticeship page publishes training levels/hours without identifiable BCIT course IDs.,0,https://www.bcit.ca/programs/sheet-metal-apprenticeship-full-time-4365appr/
4420APPR,Steamfitter/Pipefitter,apprenticeship/training structure without identifiable course IDs,Current apprenticeship page publishes training levels/hours without identifiable BCIT course IDs.,0,https://www.bcit.ca/programs/steamfitter-pipefitter-apprenticeship-full-time-4420appr/
4430APPR,Metal Fabricator,apprenticeship/training structure without identifiable course IDs,Current apprenticeship page publishes training levels/hours without identifiable BCIT course IDs.,0,https://www.bcit.ca/programs/metal-fabricator-apprenticeship-full-time-4430appr/
4530APPR,Heavy Duty Equipment Technician,apprenticeship/training structure without identifiable course IDs,Current apprenticeship page publishes training levels/hours without identifiable BCIT course IDs.,0,https://www.bcit.ca/programs/heavy-duty-equipment-technician-apprenticeship-full-time-4530appr/
4610APPR,Heavy Mechanical Trades Apprenticeship,apprenticeship/training structure without identifiable course IDs,Current apprenticeship page publishes training levels/hours without identifiable BCIT course IDs.,0,https://www.bcit.ca/programs/heavy-mechanical-trades-apprenticeship-apprenticeship-full-time-4610appr/
4630APPR,Marine Mechanical Technician,apprenticeship/training structure without identifiable course IDs,Current apprenticeship page publishes training levels/hours without identifiable BCIT course IDs.,0,https://www.bcit.ca/programs/marine-mechanical-technician-apprenticeship-full-time-4630appr/
4790APPR,Welder,apprenticeship/training structure without identifiable course IDs,Current apprenticeship page publishes training levels/hours without identifiable BCIT course IDs.,0,https://www.bcit.ca/programs/welder-apprenticeship-full-time-4790appr/
4840APPR,Automotive Technician GM (ASEP),apprenticeship/training structure without identifiable course IDs,Current apprenticeship page publishes training levels/hours without identifiable BCIT course IDs.,0,https://www.bcit.ca/programs/automotive-technician-gm-asep-apprenticeship-full-time-4840appr/
4860APPR,Automotive Technician,apprenticeship/training structure without identifiable course IDs,Current apprenticeship page publishes training levels/hours without identifiable BCIT course IDs.,0,https://www.bcit.ca/programs/automotive-technician-apprenticeship-full-time-4860appr/
4870APPR,Cabinetmaker (Joiner),apprenticeship/training structure without identifiable course IDs,Current apprenticeship page publishes training levels/hours without identifiable BCIT course IDs.,0,https://www.bcit.ca/programs/cabinetmaker-joiner-apprenticeship-full-time-4870appr/
5020NOBCIT,Maintenance Management Professional,non-program/special entry,Current catalog listing is a Statement of Completion or uses a NOBCIT/non-credential identifier.,8,https://www.bcit.ca/programs/maintenance-management-professional-statement-of-completion-part-time-5020nobcit/
5025NOBCIT,Non-Destructive Testing,non-program/special entry,Current catalog listing is a Statement of Completion or uses a NOBCIT/non-credential identifier.,5,https://www.bcit.ca/programs/non-destructive-testing-statement-of-completion-part-time-5025nobcit/
5360NOBCIT,Assayer Training,non-program/special entry,Current catalog listing is a Statement of Completion or uses a NOBCIT/non-credential identifier.,5,https://www.bcit.ca/programs/assayer-training-statement-of-completion-part-time-5360nobcit/
5460NOBCIT,Cisco Certified Network Associate,non-program/special entry,Current catalog listing is a Statement of Completion or uses a NOBCIT/non-credential identifier.,3,https://www.bcit.ca/programs/cisco-certified-network-associate-statement-of-completion-part-time-5460nobcit/
5470NOBCIT,Cisco Certified Network Professional,non-program/special entry,Current catalog listing is a Statement of Completion or uses a NOBCIT/non-credential identifier.,2,https://www.bcit.ca/programs/cisco-certified-network-professional-statement-of-completion-part-time-5470nobcit/
