program_id,program_name,classification,structured_value,legacy_boolean,source_url
0820CM,Cybersecurity Essentials for IT Professionals,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/cybersecurity-essentials-for-it-professionals-microcredential-part-time-0820cm/
0822CM,Food Safety Preventive Controls and HACCP Plans,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/food-safety-preventive-controls-and-haccp-plans-microcredential-part-time-0822cm/
0823CM,Food Safety Management,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/food-safety-management-microcredential-part-time-0823cm/
0824CM,Animal Cell Culture,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/animal-cell-culture-microcredential-part-time-0824cm/
0825CM,Canadian Employment Readiness (CER),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/canadian-employment-readiness-cer-microcredential-part-time-0825cm/
0826CM,Technical Communication Essentials,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/technical-communication-essentials-microcredential-part-time-0826cm/
0828CM,Student Mobility Preparedness,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/student-mobility-preparedness-microcredential-part-time-0828cm/
0829CM,Building Energy Modelling and Simulation,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/building-energy-modelling-and-simulation-microcredential-part-time-0829cm/
0830CM,Whole-Building Life Cycle Assessment Professional,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/whole-building-life-cycle-assessment-professional-microcredential-part-time-0830cm/
0831CM,Industrial Networking for Cybersecurity Professionals,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/industrial-networking-for-cybersecurity-professionals-microcredential-part-time-0831cm/
0832CM,Cybersecurity Operations,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/cybersecurity-operations-microcredential-part-time-0832cm/
0833CM,Forensic Nurse Death Investigator,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/forensic-nurse-death-investigator-microcredential-part-time-0833cm/
0835CM,International Education Practitioner - Foundation,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/international-education-practitioner-foundation-microcredential-part-time-0835cm/
0836CM,Drone Applications for Environmental Risk Assessment,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/drone-applications-for-environmental-risk-assessment-microcredential-part-time-0836cm/
0837CM,Foundational Digital Forensics Skills,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/foundational-digital-forensics-skills-microcredential-part-time-0837cm/
0838CM,Automotive Service Management Essentials,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/automotive-service-management-essentials-microcredential-part-time-0838cm/
0839CM,"Fiber Optics - Principles, Installation and Repair",unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/fiber-optics-principles-installation-and-repair-microcredential-part-time-0839cm/
0840CM,Introduction to Full-Stack Web Development,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/introduction-to-full-stack-web-development-microcredential-part-time-0840cm/
0841CM,Web Development Foundations (WDF),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/web-development-foundations-wdf-microcredential-part-time-0841cm/
0842CM,Data Visualization with MS Power BI,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/data-visualization-with-ms-power-bi-microcredential-part-time-0842cm/
0843CM,Spanish Language and Culture Fundamentals,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/spanish-language-and-culture-fundamentals-microcredential-part-time-0843cm/
0844CM,Fundamentals of Virtual Containers,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/fundamentals-of-virtual-containers-microcredential-part-time-0844cm/
0845CM,Network Switching and Routing,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/network-switching-and-routing-microcredential-part-time-0845cm/
0846CM,Sterile Field and the Aseptic Environment,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/sterile-field-and-the-aseptic-environment-microcredential-part-time-0846cm/
0847CM,Wind Turbine Essentials,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/wind-turbine-essentials-microcredential-part-time-0847cm/
0848CM,Advanced Topics in Networking,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/advanced-topics-in-networking-microcredential-part-time-0848cm/
0849CM,Asbestos Awareness and Safety,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/asbestos-awareness-and-safety-microcredential-part-time-0849cm/
0850CM,Fraud and Financial Crime Investigation,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/fraud-and-financial-crime-investigation-microcredential-part-time-0850cm/
0851CM,Aircraft Defect Inspection and Reporting Techniques,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/aircraft-defect-inspection-and-reporting-techniques-microcredential-part-time-0851cm/
0852CM,Canadian Engineering Professional Practice,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/canadian-engineering-professional-practice-microcredential-part-time-0852cm/
0853CM,Principles of Regenerative Building,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/principles-of-regenerative-building-microcredential-part-time-0853cm/
0854CM,Essentials of Community Energy and Emissions Management,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/essentials-of-community-energy-and-emissions-management-microcredential-part-time-0854cm/
0855CM,Thermal Power Plant Simulation Proficiency,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/thermal-power-plant-simulation-proficiency-microcredential-part-time-0855cm/
0856CM,Retrofit Solutions for Rural Communities,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/retrofit-solutions-for-rural-communities-microcredential-part-time-0856cm/
0857CM,Automotive Collision Estimator,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/automotive-collision-estimator-microcredential-part-time-0857cm/
0859CM,Sexual and Reproductive Health Foundations,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/sexual-and-reproductive-health-foundations-microcredential-part-time-0859cm/
0860CM,Heat Pump Maintenance and Troubleshooting,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/heat-pump-maintenance-and-troubleshooting-microcredential-part-time-0860cm/
0861CM,Climate Changemakers Leadership Training,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/climate-changemakers-leadership-training-microcredential-part-time-0861cm/
0862CM,Residential Air to Air Heat Pump Specialist,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/residential-air-to-air-heat-pump-specialist-microcredential-part-time-0862cm/
0864CM,Marine Business Essentials,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/marine-business-essentials-microcredential-part-time-0864cm/
0865CM,Introduction to Power Systems Protection Design,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/introduction-to-power-systems-protection-design-microcredential-part-time-0865cm/
0866CM,Distribution Design for Electrical Utilities,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/distribution-design-for-electrical-utilities-microcredential-part-time-0866cm/
0869CM,Occupational Health and Safety Essentials,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/occupational-health-and-safety-essentials-microcredential-part-time-0869cm/
0870CM,Sexual Health Rehabilitation,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/sexual-health-rehabilitation-microcredential-part-time-0870cm/
0872CM,Techniques for Crime & Intelligence Analysts (TCIA),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/techniques-for-crime-and-intelligence-analysts-tcia-microcredential-part-time-0872cm/
0873CM,Fundamentals in Polytechnic Teaching,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/fundamentals-in-polytechnic-teaching-microcredential-part-time-0873cm/
0874CM,"Fundamentals in Architecture, Construction, and Engineering",unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/fundamentals-in-architecture-construction-and-engineering-microcredential-part-time-0874cm/
0875CM,Applied Additive Manufacturing,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/applied-additive-manufacturing-microcredential-part-time-0875cm/
0876CM,Applied Mass Timber Engineering,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/applied-mass-timber-engineering-microcredential-part-time-0876cm/
100ADIPMA,Airline and Flight Operations Commercial Pilot (Fixed-Wing),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/airline-and-flight-operations-commercial-pilot-fixed-wing-diploma-full-time-100adipma/
100BDIPMA,Airline and Flight Operations Commercial Pilot (Rotary-Wing),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/airline-and-flight-operations-commercial-pilot-rotary-wing-diploma-full-time-100bdipma/
1030CERTTS,Aircraft Gas Turbine Technician,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/aircraft-gas-turbine-technician-certificate-full-time-1030certts/
1070ACERT,Airport Operations,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/airport-operations-associate-certificate-part-time-1070acert/
1155ACERT,Construction Drawings,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/construction-drawings-associate-certificate-part-time-1155acert/
1165DIPMA,Aircraft Maintenance Engineer Category ‘E’ (Electronics),explicitly allowed,Available to international applicants,True,https://www.bcit.ca/programs/aircraft-maintenance-engineer-category-e-electronics-diploma-full-time-1165dipma/
1175DIPMA,Aviation Management and Operations,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/aviation-management-and-operations-diploma-full-time-1175dipma/
1180ACERT,Trades Discovery General,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/trades-discovery-general-associate-certificate-full-time-1180acert/
1190ACERT,Trades Discovery for Women,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/trades-discovery-for-women-associate-certificate-full-time-1190acert/
1195IPCERT,Advanced Gas Turbine,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/advanced-gas-turbine-bcit-industry-partnership-certificate-full-time-1195ipcert/
1205DIPMA,Aircraft Maintenance Engineer Category 'S' (Structures),explicitly allowed,Available to international applicants,True,https://www.bcit.ca/programs/aircraft-maintenance-engineer-category-s-structures-diploma-full-time-1205dipma/
1230DIPMA,Aircraft Maintenance Engineer Category 'M' (Maintenance),explicitly allowed,Available to international applicants,True,https://www.bcit.ca/programs/aircraft-maintenance-engineer-category-m-maintenance-diploma-full-time-1230dipma/
1255CERT,Auto Body Repair and Refinishing Technician Foundation,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/auto-body-repair-and-refinishing-technician-foundation-certificate-full-time-1255cert/
1320ADCERT,Automated Controls Installation and Maintenance,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/automated-controls-installation-and-maintenance-advanced-certificate-part-time-1320adcert/
1355TTCERT,Automotive Technician Foundation,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/automotive-technician-foundation-certificate-full-time-1355ttcert/
1360CERT,Automotive Technician (Honda/Acura Foundation),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/automotive-technician-honda-acura-foundation-certificate-full-time-1360cert/
1375TTCERT,Automotive Technician (Toyota Foundation),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/automotive-technician-toyota-foundation-certificate-full-time-1375ttcert/
1430DIPMA,Automotive Service Technician and Operations,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/automotive-service-technician-and-operations-diploma-full-time-1430dipma/
143ADIPMA,Automotive Service Technician and Operations (Ford ASSET Option),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/automotive-service-technician-and-operations-ford-asset-option-diploma-full-time-143adipma/
143BDIPMA,Automotive Service Technician and Operations - Non-Co-op Option,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/automotive-service-technician-and-operations-non-co-op-option-diploma-full-time-143bdipma/
1450TTCERT,Boilermaker Foundation,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/boilermaker-foundation-certificate-full-time-1450ttcert/
1525TTDIPL,CNC Machinist Technician,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/cnc-machinist-technician-diploma-full-time-1525ttdipl/
1645CERT,Carpentry Framing and Forming Foundation,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/carpentry-framing-and-forming-foundation-certificate-full-time-1645cert/
1685ACERT,Railway Conductor and Operations,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/railway-conductor-and-operations-associate-certificate-part-time-1685acert/
1710CERTTS,Architectural and Structural CADD and Graphics Technician (Structural Option),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/architectural-and-structural-cadd-and-graphics-technician-structural-option-certificate-full-time-1710certts/
1720CERTTS,Architectural and Structural CADD and Graphics Technician (Architectural Option),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/architectural-and-structural-cadd-and-graphics-technician-architectural-option-certificate-full-time-1720certts/
1780CERT,Electrical Foundation,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/electrical-foundation-certificate-full-time-1780cert/
1790ACERT,Hydronic Technician,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/hydronic-technician-associate-certificate-part-time-1790acert/
1855DIPMA,Heavy Duty Truck Technology,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/heavy-duty-truck-technology-diploma-full-time-1855dipma/
1885ACERTS,Network Administrator Technician,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/network-administrator-technician-associate-certificate-part-time-1885acerts/
1920CERT,Marine Mechanical Technician Foundation,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/marine-mechanical-technician-foundation-certificate-full-time-1920cert/
1930DIPMA,Computer Information Systems Administration,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/computer-information-systems-administration-diploma-full-time-1930dipma/
1940CERT,Heavy Mechanical Trades Foundation,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/heavy-mechanical-trades-foundation-certificate-full-time-1940cert/
2000TTCERT,Ironworker Foundation,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/ironworker-foundation-certificate-full-time-2000ttcert/
2020CERTTS,Chief Mate,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/chief-mate-certificate-part-time-2020certts/
2060CERT,Cabinetmaker (Joiner) Foundation,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/cabinetmaker-joiner-foundation-certificate-full-time-2060cert/
2175TTCERT,Machinist Foundation,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/machinist-foundation-certificate-full-time-2175ttcert/
2230CERT,Millwright Foundation,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/millwright-foundation-certificate-full-time-2230cert/
2365CERT,Motorcycle Technician Foundation,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/motorcycle-technician-foundation-certificate-full-time-2365cert/
2410TTCERT,Power Engineering (General Program),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/power-engineering-general-program-certificate-full-time-2410ttcert/
2425CERT,Refrigeration and Air Conditioning Mechanic Foundation,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/refrigeration-and-air-conditioning-mechanic-foundation-certificate-full-time-2425cert/
2430DIPMA,Power and Process Engineering,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/power-and-process-engineering-diploma-full-time-2430dipma/
2440CERT,Piping Foundation,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/piping-foundation-certificate-full-time-2440cert/
2505ACERTS,Master 150GT Domestic,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/master-150gt-domestic-associate-certificate-part-time-2505acerts/
2515ACERTS,Master 500GT Domestic,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/master-500gt-domestic-associate-certificate-part-time-2515acerts/
2522CERTTS,Master 3000GT Domestic,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/master-3000gt-domestic-certificate-part-time-2522certts/
2536DIPMA,Nautical Sciences,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/nautical-sciences-diploma-full-time-2536dipma/
2542CERTTS,Watchkeeping Mate Near Coastal (WKMNC),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/watchkeeping-mate-near-coastal-wkmnc-certificate-part-time-2542certts/
2645CERT,Sheet Metal Worker Foundation,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/sheet-metal-worker-foundation-certificate-full-time-2645cert/
2825CERT,Metal Fabricator Foundation,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/metal-fabricator-foundation-certificate-full-time-2825cert/
2847CERT,Welder Foundation,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/welder-foundation-certificate-full-time-2847cert/
2860TTCERT,"Welding, Level B",unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/welding-level-b-certificate-full-time-2860ttcert/
2870TTCERT,"Welding, Level A",unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/welding-level-a-certificate-full-time-2870ttcert/
2885ADVDIP,Marine Engineering,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/marine-engineering-advanced-diploma-full-time-2885advdip/
2915CERT,Security Systems Technician,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/security-systems-technician-certificate-full-time-2915cert/
2933ACERT,Bridge Watch Rating,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/bridge-watch-rating-associate-certificate-full-time-2933acert/
2942DIPMA,Marine Engineering,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/marine-engineering-diploma-full-time-2942dipma/
2945DIPMA,Industrial Instrumentation and Process Control Technician,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/industrial-instrumentation-and-process-control-technician-diploma-full-time-2945dipma/
2958CERT,"Heating, Ventilation, Air Conditioning and Refrigeration Technician",unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/heating-ventilation-air-conditioning-and-refrigeration-technician-certificate-full-time-2958cert/
2992DIPMA,"Heating, Ventilation, Air Conditioning and Refrigeration Technician",unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/heating-ventilation-air-conditioning-and-refrigeration-technician-diploma-full-time-2992dipma/
5063DIPMA,Biomedical Engineering Technology,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/biomedical-engineering-technology-diploma-full-time-5063dipma/
5077CERT,Event Marketing and Management Strategy,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/event-marketing-and-management-strategy-certificate-part-time-5077cert/
5085ACERT,Project Management,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/project-management-associate-certificate-part-time-5085acert/
5105DIPMA,Digital Communications and Wireless Technologies,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/digital-communications-and-wireless-technologies-diploma-full-time-5105dipma/
5115ACERT,Music Business,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/music-business-associate-certificate-part-time-5115acert/
5125ACERT,Business of Sawmilling,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/business-of-sawmilling-associate-certificate-part-time-5125acert/
5140ACERT,Business Administration,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/business-administration-associate-certificate-part-time-5140acert/
5145ADCERT,Sustainable Business,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/sustainable-business-advanced-certificate-part-time-5145adcert/
5155DIPMA,"Food Processing, Safety, and Quality",unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/food-processing-safety-and-quality-diploma-full-time-5155dipma/
515GACERT,Building Construction Technology,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/building-construction-technology-associate-certificate-part-time-515gacert/
515HACERT,Building Design and Architectural CAD,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/building-design-and-architectural-cad-associate-certificate-part-time-515hacert/
5160ACERT,Industrial Wood Processing,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/industrial-wood-processing-associate-certificate-part-time-5160acert/
5165ADCERT,Digital Health,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/digital-health-advanced-certificate-part-time-5165adcert/
5170ACERT,Healthcare Unit Clerk,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/healthcare-unit-clerk-associate-certificate-part-time-5170acert/
5175ACERT,Polytechnic Teaching,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/polytechnic-teaching-associate-certificate-part-time-5175acert/
5180ADVDIP,Sustainable Business Leadership,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/sustainable-business-leadership-advanced-diploma-full-time-5180advdip/
5180PADVDIP,Sustainable Business Leadership,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/sustainable-business-leadership-advanced-diploma-part-time-5180padvdip/
5205ACERT,Business Analysis,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/business-analysis-associate-certificate-part-time-5205acert/
5225ACERT,Construction of Mass Timber Structures,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/construction-of-mass-timber-structures-associate-certificate-part-time-5225acert/
5235ADCERT,Building Energy Modelling and Performance Analysis,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/building-energy-modelling-and-performance-analysis-advanced-certificate-part-time-5235adcert/
5240ADVDIP,Technical Arts,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/technical-arts-advanced-diploma-full-time-5240advdip/
5245ACERT,Artificial Intelligence Management,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/artificial-intelligence-management-associate-certificate-part-time-5245acert/
5265DIPMA,Industrial Network Cybersecurity,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/industrial-network-cybersecurity-diploma-full-time-5265dipma/
5275ACERT,Business Intelligence,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/business-intelligence-associate-certificate-part-time-5275acert/
528AADCERT,Forensic Investigation (Crime and Intelligence Analysis Option),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/forensic-investigation-crime-and-intelligence-analysis-option-advanced-certificate-part-time-528aadcert/
528BADCERT,Forensic Investigation (Forensic Science Option),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/forensic-investigation-forensic-science-option-advanced-certificate-part-time-528badcert/
528CADCERT,Forensic Investigation (Digital Forensics and Cybersecurity Option),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/forensic-investigation-digital-forensics-and-cybersecurity-option-advanced-certificate-part-time-528cadcert/
5290ADVDIP,Professional Accounting,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/professional-accounting-advanced-diploma-full-time-part-time-5290advdip/
5295ACERT,Business Data Management,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/business-data-management-associate-certificate-part-time-5295acert/
530ADIPLT,Cardiology Technology,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/cardiology-technology-diploma-part-time-530adiplt/
5310ADCERT,Cardiac Sciences (Cardiovascular Technology Option),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/cardiac-sciences-cardiovascular-technology-option-advanced-certificate-part-time-5310adcert/
5312ADVDIP,Business Management - Advanced Diploma,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/business-management-advanced-diploma-advanced-diploma-full-time-part-time-5312advdip/
5320ADCERT,Cardiac Sciences (Electrophysiology Technology Option),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/cardiac-sciences-electrophysiology-technology-option-advanced-certificate-part-time-5320adcert/
5325ACERT,Foundations in Occupational Health and Safety,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/foundations-in-occupational-health-and-safety-associate-certificate-part-time-5325acert/
5330ADCERT,Cardiac Sciences (Cardiac Rhythm Device Technology Option),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/cardiac-sciences-cardiac-rhythm-device-technology-option-advanced-certificate-part-time-5330adcert/
534ADIPMA,Electrical and Computer Engineering Technology (Automation and Instrumentation Option),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/electrical-and-computer-engineering-technology-automation-and-instrumentation-option-diploma-full-time-534adipma/
534BDIPMA,Electrical and Computer Engineering Technology (Electrical Power and Industrial Control Option),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/electrical-and-computer-engineering-technology-electrical-power-and-industrial-control-option-diploma-full-time-534bdipma/
534CDIPMA,Electrical and Computer Engineering Technology (Telecommunications and Networks Option),unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/electrical-and-computer-engineering-technology-telecommunications-and-networks-option-diploma-full-time-534cdipma/
5365ACERT,Digital Media Foundations,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/digital-media-foundations-associate-certificate-part-time-5365acert/
5375DIPMA,Chemical and Environmental Engineering Technology,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/chemical-and-environmental-engineering-technology-diploma-full-time-5375dipma/
5410DIPLT,Civil Engineering Diploma,unknown/not published,,,
5430ACERT,Civil Technology,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/civil-technology-associate-certificate-part-time-5430acert/
5430CERT,Civil Technology,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/civil-technology-certificate-part-time-5430cert/
5440ADCERT,Geographic Information Systems,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/geographic-information-systems-advanced-certificate-part-time-5440adcert/
5500CERT,Computer Systems,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/computer-systems-certificate-part-time-5500cert/
5500DIPMA,Computer Systems Technology,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/computer-systems-technology-diploma-full-time-5500dipma/
5500PDIPLT,Computer Systems,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/computer-systems-diploma-part-time-5500pdiplt/
5512CERT,Applied Data Analytics,unknown/not published,Refer to official program page,,https://www.bcit.ca/programs/applied-data-analytics-certificate-part-time-5512cert/
