program_id,program_name,credential,study_mode,school,shape,status,custom_code,missing_course_count,validated_missing_count,import_status,revision_id,payload_sha256,zero_diff,warnings,blockers,source_url
5140ACERT,Business Administration,Associate Certificate,Part-time,School of Business + Media,flexible business core with course alternatives,YELLOW,existing Batch 01 connector/pathway adapter; no new code,0,0,active,293,9a98227c9e0788d8d6bb2ee697992d0c519a9f2817c19432f18c12365f40c24c,True,[],[],https://www.bcit.ca/programs/business-administration-associate-certificate-part-time-5140acert/
703ADIPMA,Business Administration (General Option),Diploma,Part-time,School of Business + Media,part-time diploma ladder with option electives,YELLOW,existing Batch 01 connector/pathway adapter; no new code,6,6,active,294,451fc312c0869961fc728c79885a4446daf00c78585b87a4063357f513d31022,True,[],[],https://www.bcit.ca/programs/business-administration-general-option-diploma-part-time-703adipma/
5312ADVDIP,Business Management - Advanced Diploma,Advanced Diploma,Full-time/Part-time,School of Business + Media,advanced diploma with prior credential and electives,YELLOW,existing Batch 01 connector/pathway adapter; no new code,8,8,active,295,85043e182d1df5c57122a64b1f667516f4042d12aeedf8c2e778571efff4977b,True,[],[],https://www.bcit.ca/programs/business-management-advanced-diploma-advanced-diploma-full-time-part-time-5312advdip/
9980BCI,Bachelor of Creative Industries,Bachelor of Creative Industries,Full-time,School of Business + Media,degree completion with studio projects and electives,YELLOW,existing Batch 01 connector/pathway adapter; no new code,16,16,active,296,0ff60525f4f64e6ed35175c4348ffbca7aee3c379079889ac6da18681b3ef53d,True,"[""duplicate course reference normalized during import: CREA4035"", ""duplicate course reference normalized during import: CREA4045"", ""duplicate course reference normalized during import: CREA4055"", ""duplicate course reference normalized during import: CREA4060""]",[],https://www.bcit.ca/programs/bachelor-of-creative-industries-bachelor-of-creative-industries-full-time-9980bci/
6515DIPMA,Digital Design and Development,Diploma,Full-time,School of Business + Media,design and development cohort diploma,GREEN,none,29,29,active,297,e049438abe16a110a9a9b4a5bf1905b0ebd8c9fd8752bc7fa0ea331b8da21784,True,[],[],https://www.bcit.ca/programs/digital-design-and-development-diploma-full-time-6515dipma/
6992ACERT,Applied Computer Information Systems (ACIS),Associate Certificate,Part-time,School of Computing and Academic Studies,flexible computing certificate with elective choices,YELLOW,existing Batch 01 connector/pathway adapter; no new code,0,0,active,298,27c36c2894170aa43963a6b6e82f2f16a21aebad2e206a9b77acd7cf1de0f409,True,[],[],https://www.bcit.ca/programs/applied-computer-information-systems-acis-associate-certificate-part-time-6992acert/
6235DIPMA,Business Information Technology Management,Diploma,Full-time,School of Business + Media,technology management cohort with option continuation,YELLOW,existing Batch 01 connector/pathway adapter; no new code,3,3,active,299,1010b280cfbdfa2db770399b0f2d76798e923d3711fc723072d0d603a577efaa,True,[],[],https://www.bcit.ca/programs/business-information-technology-management-diploma-full-time-6235dipma/
5165ADCERT,Digital Health,Advanced Certificate,Part-time,School of Health Sciences,post-credential online health informatics certificate,GREEN,none,1,1,active,300,663d6a77fa357c39dfdc1f063dd95ecbd095b46d5293b6e872e57120a610a419,True,[],[],https://www.bcit.ca/programs/digital-health-advanced-certificate-part-time-5165adcert/
1930DIPMA,Computer Information Systems Administration,Diploma,Full-time,School of Energy,systems administration cohort diploma,GREEN,none,26,26,active,301,66988ded696742d0711b18535a5db0195e06b21d2633d73473dc63ccdcff7be0,True,[],[],https://www.bcit.ca/programs/computer-information-systems-administration-diploma-full-time-1930dipma/
7110CERT,Technology Support Professional (TSP),Certificate,Full-time,School of Computing and Academic Studies,intensive support certificate with practicum,GREEN,none,11,11,active,302,acd6c0846769d9adb7d34fbbed215512c869a52ca09680cbd45903cbaf5fc46e,True,[],[],https://www.bcit.ca/programs/technology-support-professional-tsp-certificate-full-time-7110cert/
867CBSC,Applied Computer Science (Database Option),Bachelor of Science,Full-time/Part-time,School of Computing and Academic Studies,degree completion with database option and electives,YELLOW,existing Batch 01 connector/pathway adapter; no new code,9,9,active,303,75c1a8f3ece1bd41234591937fc8ff41bb985cb9af029e5d5b4492618a90bcd6,True,[],[],https://www.bcit.ca/programs/applied-computer-science-database-option-bachelor-of-science-full-time-part-time-867cbsc/
6958ACERT,Applied Software Development (ASD),Associate Certificate,Part-time,School of Computing and Academic Studies,flexible software certificate with prerequisite ladder,GREEN,none,1,1,active,304,175b2b6dc7931ee8611f13de9ff765bacd1f81ffacbdaaf1a0b704b1000a1532,True,[],[],https://www.bcit.ca/programs/applied-software-development-asd-associate-certificate-part-time-6958acert/
6465ACERT,Web and Mobile Application Development,Associate Certificate,Part-time,School of Computing and Academic Studies,flexible web and mobile certificate,GREEN,none,4,4,active,305,57966abf7b509c796c1ccc2c4fd06e692f755366769cb344467cf3ea9d5f8cbe,True,[],[],https://www.bcit.ca/programs/web-and-mobile-application-development-associate-certificate-part-time-6465acert/
6530CERT,Construction Estimating,Certificate,Part-time,School of Construction and the Environment,flexible construction certificate with course choices,YELLOW,existing Batch 01 connector/pathway adapter; no new code,0,0,active,306,a9ce9e61513f9237173edf325a2d229ab33d67d7b0e576c454571f9df2e31a20,True,[],[],https://www.bcit.ca/programs/construction-estimating-certificate-part-time-6530cert/
5105DIPMA,Digital Communications and Wireless Technologies,Diploma,Full-time,School of Energy,communications engineering diploma with projects,GREEN,none,23,23,active,307,8fb7d456e2f44bb6f4c3383d38d850caeb9695511f590fff0312a157d3e63bb8,True,[],[],https://www.bcit.ca/programs/digital-communications-and-wireless-technologies-diploma-full-time-5105dipma/
534ADIPMA,Electrical and Computer Engineering Technology (Automation and Instrumentation Option),Diploma,Full-time,School of Energy,shared first year and named engineering option,YELLOW,existing Batch 01 connector/pathway adapter; no new code,21,21,active,308,377b586db4956db18c1a69b067107c8218a67ae70c8992241634c140ac3d6271,True,"[""duplicate course reference normalized during import: COMM1143"", ""duplicate course reference normalized during import: ELEX0304"", ""duplicate course reference normalized during import: ELEX1105"", ""duplicate course reference normalized during import: ELEX1113"", ""duplicate course reference normalized during import: ELEX1117"", ""duplicate course reference normalized during import: MATH1431"", ""duplicate course reference normalized during import: PHYS1143"", ""duplicate course reference normalized during import: COMM1243"", ""duplicate course reference normalized during import: ELEX1101"", ""duplicate course reference normalized during import: ELEX1103"", ""duplicate course reference normalized during import: ELEX1104"", ""duplicate course reference normalized during import: ELEX2105"", ""duplicate course reference normalized during import: ELEX2117"", ""duplicate course reference normalized during import: ELEX2120"", ""duplicate course reference normalized during import: ELEX2125"", ""duplicate course reference normalized during import: MATH2431"", ""duplicate course reference normalized during import: PHYS2143"", ""duplicate course reference normalized during import: CHSC3342"", ""duplicate course reference normalized during import: ELEX3210"", ""duplicate course reference normalized during import: ELEX3215"", ""duplicate course reference normalized during import: ELEX3230"", ""duplicate course reference normalized during import: ELEX3305"", ""duplicate course reference normalized during import: MATH3433"", ""duplicate course reference normalized during import: ELEX3201"", ""duplicate course reference normalized during import: ELEX3203"", ""duplicate course reference normalized during import: ELEX3204"", ""duplicate course reference normalized during import: COMM2443"", ""duplicate course reference normalized during import: ELEX0404"", ""duplicate course reference normalized during import: ELEX4206"", ""duplicate course reference normalized during import: ELEX4210"", ""duplicate course reference normalized during import: ELEX4215"", ""duplicate course reference normalized during import: ELEX4221"", ""duplicate course reference normalized during import: ELEX4226""]",[],https://www.bcit.ca/programs/electrical-and-computer-engineering-technology-automation-and-instrumentation-option-diploma-full-time-534adipma/
534BDIPMA,Electrical and Computer Engineering Technology (Electrical Power and Industrial Control Option),Diploma,Full-time,School of Energy,shared first year and named engineering option,YELLOW,existing Batch 01 connector/pathway adapter; no new code,23,23,active,309,b11f8ddbbbf16c5314582555e3a4170195c137188e7bde4197a6b52c7bdba222,True,"[""duplicate course reference normalized during import: COMM1143"", ""duplicate course reference normalized during import: ELEX0304"", ""duplicate course reference normalized during import: ELEX1105"", ""duplicate course reference normalized during import: ELEX1113"", ""duplicate course reference normalized during import: ELEX1117"", ""duplicate course reference normalized during import: MATH1431"", ""duplicate course reference normalized during import: PHYS1143"", ""duplicate course reference normalized during import: COMM1243"", ""duplicate course reference normalized during import: ELEX1101"", ""duplicate course reference normalized during import: ELEX1103"", ""duplicate course reference normalized during import: ELEX1104"", ""duplicate course reference normalized during import: ELEX2105"", ""duplicate course reference normalized during import: ELEX2117"", ""duplicate course reference normalized during import: ELEX2120"", ""duplicate course reference normalized during import: ELEX2125"", ""duplicate course reference normalized during import: MATH2431"", ""duplicate course reference normalized during import: PHYS2143"", ""duplicate course reference normalized during import: ELEX3130"", ""duplicate course reference normalized during import: ELEX3305"", ""duplicate course reference normalized during import: ELEX3410"", ""duplicate course reference normalized during import: ELEX3425"", ""duplicate course reference normalized during import: ELEX3430"", ""duplicate course reference normalized during import: MATH3433"", ""duplicate course reference normalized during import: ELEX3401"", ""duplicate course reference normalized during import: ELEX3402"", ""duplicate course reference normalized during import: ELEX3403"", ""duplicate course reference normalized during import: ELEX3404"", ""duplicate course reference normalized during import: COMM2443"", ""duplicate course reference normalized during import: ELEX0404"", ""duplicate course reference normalized during import: ELEX4410"", ""duplicate course reference normalized during import: ELEX4420"", ""duplicate course reference normalized during import: ELEX4425"", ""duplicate course reference normalized during import: ELEX4435"", ""duplicate course reference normalized during import: ELEX4440""]",[],https://www.bcit.ca/programs/electrical-and-computer-engineering-technology-electrical-power-and-industrial-control-option-diploma-full-time-534bdipma/
635EDIPLT,Mechanical Engineering Technology (Mechanical Manufacturing Option),Diploma,Full-time,School of Energy,shared core with manufacturing option,YELLOW,existing Batch 01 connector/pathway adapter; no new code,13,13,active,310,c58dac046242acf55aad4b54d26fb9ffc3105c17a57fee0dcf36663259e0b0d2,True,[],[],https://www.bcit.ca/programs/mechanical-engineering-technology-mechanical-manufacturing-option-diploma-full-time-635ediplt/
7340DIPLT,Mechatronics and Robotics,Diploma,Full-time,School of Energy,integrated engineering diploma with project work,GREEN,none,22,22,active,311,b7278e94ceb711c28a0e175a2183efa0237cd0e4a615b189ba791fe3b6ddf1db,True,[],[],https://www.bcit.ca/programs/mechatronics-and-robotics-diploma-full-time-7340diplt/
6760ACERT,Mechanical Systems,Associate Certificate,Part-time,School of Energy,flexible mechanical systems certificate,GREEN,none,2,2,active,312,69f6cd71fd67409c9018e4db90d45fc0f7d8c65112758488bbc8bb4827a90acd,True,[],[],https://www.bcit.ca/programs/mechanical-systems-associate-certificate-part-time-6760acert/
M220MASC,Building Engineering/Building Science,Master of Applied Science,Full-time/Part-time,School of Construction and the Environment,research graduate degree with thesis and electives,YELLOW,existing Batch 01 connector/pathway adapter; no new code,16,16,active,313,498d79820567193d4697451a3a87d6c1687ccf7bca669335cd636f29a588a668,True,[],[],https://www.bcit.ca/programs/building-engineering-building-science-master-of-applied-science-full-time-part-time-m220masc/
M120MENG,Building Science,Master of Engineering,Full-time/Part-time,School of Construction and the Environment,professional graduate degree with project and electives,YELLOW,existing Batch 01 connector/pathway adapter; no new code,14,14,active,314,c5908f3e87857ad7b08f952805f21114905b706ffaeddda611536b6980b6e521,True,"[""duplicate course reference normalized during import: BSCI9050""]",[],https://www.bcit.ca/programs/building-science-master-of-engineering-full-time-part-time-m120meng/
576BDIPMA,Diagnostic Medical Sonography (Cardiac Sonography Option),Diploma,Full-time,School of Health Sciences,regulated health option with clinical placements,YELLOW,existing Batch 01 connector/pathway adapter; no new code,6,6,active,315,bc2bc1209eef720d2b203d6bbf7c5d6cba04669cfd8caf0df29915d816f9be40,True,[],[],https://www.bcit.ca/programs/diagnostic-medical-sonography-cardiac-sonography-option-diploma-full-time-576bdipma/
5810DIPMA,Electroneurophysiology,Diploma,Full-time,School of Health Sciences,regulated health diploma with clinical terms,GREEN,none,19,19,active,316,b1bee787bd7dc4755a36eebbddae5d84d795b05a0a797c15c4533fb212b08c03,True,[],[],https://www.bcit.ca/programs/electroneurophysiology-diploma-full-time-5810dipma/
7975DIPMA,Magnetic Resonance Imaging,Diploma,Full-time,School of Health Sciences,post-credential diploma with clinical education,GREEN,none,22,22,active,317,679674e8b2ee56ab00a691cd1b0dfb6b50e85e6d766be09fb7ed34547f571404,True,[],[],https://www.bcit.ca/programs/magnetic-resonance-imaging-diploma-full-time-7975dipma/
6850DIPLT,Occupational Health and Safety,Diploma,Full-time,School of Health Sciences,health and safety diploma with practicum,GREEN,none,40,40,active,318,5d94a939afebbb6f2bc5ad10327c0bf784c807792dc241313ff9b3e905860d75,True,[],[],https://www.bcit.ca/programs/occupational-health-and-safety-diploma-full-time-6850diplt/
7100DIPLT,Prosthetics and Orthotics,Diploma,Full-time,School of Health Sciences,clinical technical diploma with placements,GREEN,none,22,22,active,319,a56ae47110856d42a30197267940e0f32770fce9190743d35d39b5660a3ab982,True,[],[],https://www.bcit.ca/programs/prosthetics-and-orthotics-diploma-full-time-7100diplt/
8650BSC,Radiation Therapy,Bachelor of Science,Full-time,School of Health Sciences,regulated bachelor degree with clinical placements,GREEN,none,25,25,active,320,26923fdf8b17b7653bb648d88a4bebd76edf4e54babbf0dbcc6d4abedcfd4ece,True,[],[],https://www.bcit.ca/programs/radiation-therapy-bachelor-of-science-full-time-8650bsc/
5310ADCERT,Cardiac Sciences (Cardiovascular Technology Option),Advanced Certificate,Part-time,School of Health Sciences,post-credential cardiac option with clinical requirements,YELLOW,existing Batch 01 connector/pathway adapter; no new code,0,0,active,321,5cfed0983e60a8b8addfceb1d1cdc05e4f1ff070349fe1dd288c3919b5ba5f95,True,[],[],https://www.bcit.ca/programs/cardiac-sciences-cardiovascular-technology-option-advanced-certificate-part-time-5310adcert/
6820ASCERT,Cardiovascular Perfusion,Advanced Certificate,Part-time,School of Health Sciences,post-credential advanced certificate with clinical training,GREEN,none,9,9,active,322,e41eedb51db6ac248b2fbde60b4c1baca0cf6989f9e86b6e4a62f565fd9dc0cf,True,[],[],https://www.bcit.ca/programs/cardiovascular-perfusion-advanced-certificate-part-time-6820ascert/
6860ADCERT,Health Leadership,Advanced Certificate,Part-time,School of Health Sciences,flexible leadership certificate with elective choices,YELLOW,existing Batch 01 connector/pathway adapter; no new code,2,2,active,323,588d5f69fa827e01e510cd51db7d4adb5e77e9e02aa1ffe36cfaef4b04371b86,True,[],[],https://www.bcit.ca/programs/health-leadership-advanced-certificate-part-time-6860adcert/
1180ACERT,Trades Discovery General,Associate Certificate,Full-time,School of Transportation,multi-trade exploration certificate with identifiable courses,GREEN,none,9,9,active,324,ae8c6aeb9e8c0b391674ac74e55cf1f6b20756b2fe0513d167565407564756a4,True,[],[],https://www.bcit.ca/programs/trades-discovery-general-associate-certificate-full-time-1180acert/
1450TTCERT,Boilermaker Foundation,Certificate,Full-time,School of Construction and the Environment,foundation trades certificate,GREEN,none,13,13,active,325,e3eecdf6f8f5637a1b6dcf164f7a4bd5550ad21723061771ebcbc7e9101ad67b,True,[],[],https://www.bcit.ca/programs/boilermaker-foundation-certificate-full-time-1450ttcert/
1780CERT,Electrical Foundation,Certificate,Full-time,School of Construction and the Environment,foundation trades certificate,GREEN,none,9,9,active,326,ceb083481671e76053869f56ad9c46183fc317fc35c656a8c6918c65a9d2f477,True,[],[],https://www.bcit.ca/programs/electrical-foundation-certificate-full-time-1780cert/
1525TTDIPL,CNC Machinist Technician,Diploma,Full-time,School of Energy,technical trades diploma with co-op,YELLOW,existing Batch 01 connector/pathway adapter; no new code,26,26,active,327,fef495c1742425f66c5c06cbed0e562dd8d93e8fd77e88865c935fa38e2e67b0,True,[],[],https://www.bcit.ca/programs/cnc-machinist-technician-diploma-full-time-1525ttdipl/
1175DIPMA,Aviation Management and Operations,Diploma,Full-time,School of Transportation,aviation operations diploma with industry practicum,GREEN,none,30,30,active,328,def60d942f948334db6570e6399d4499f35b57c14f2766878ca62abd3a0549c2,True,[],[],https://www.bcit.ca/programs/aviation-management-and-operations-diploma-full-time-1175dipma/
100BDIPMA,Airline and Flight Operations Commercial Pilot (Rotary-Wing),Diploma,Full-time,School of Transportation,aviation diploma combining academics and external flight training,GREEN,none,9,9,active,329,9affe02a295ab46daee5299981daf2908575bc9397a07ac773ae0d41cccac980,True,[],[],https://www.bcit.ca/programs/airline-and-flight-operations-commercial-pilot-rotary-wing-diploma-full-time-100bdipma/
