program_id,program_name,classification,delivery_fact_status,rule_statuses,has_delivery_facts_row
0819CM,Essentials of Net-Zero and Passive House Construction,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
0820CM,Cybersecurity Essentials for IT Professionals,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
0822CM,Food Safety Preventive Controls and HACCP Plans,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
0823CM,Food Safety Management,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
0824CM,Animal Cell Culture,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
0825CM,Canadian Employment Readiness (CER),ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
0826CM,Technical Communication Essentials,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
0828CM,Student Mobility Preparedness,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
0829CM,Building Energy Modelling and Simulation,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
0830CM,Whole-Building Life Cycle Assessment Professional,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
0831CM,Industrial Networking for Cybersecurity Professionals,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
0832CM,Cybersecurity Operations,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
0833CM,Forensic Nurse Death Investigator,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
0835CM,International Education Practitioner - Foundation,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
0836CM,Drone Applications for Environmental Risk Assessment,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
0837CM,Foundational Digital Forensics Skills,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
0838CM,Automotive Service Management Essentials,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
0839CM,"Fiber Optics - Principles, Installation and Repair",UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
0840CM,Introduction to Full-Stack Web Development,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
0841CM,Web Development Foundations (WDF),ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
0842CM,Data Visualization with MS Power BI,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
0843CM,Spanish Language and Culture Fundamentals,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
0844CM,Fundamentals of Virtual Containers,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
0845CM,Network Switching and Routing,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
0846CM,Sterile Field and the Aseptic Environment,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
0847CM,Wind Turbine Essentials,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
0848CM,Advanced Topics in Networking,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
0849CM,Asbestos Awareness and Safety,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
0850CM,Fraud and Financial Crime Investigation,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
0851CM,Aircraft Defect Inspection and Reporting Techniques,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
0852CM,Canadian Engineering Professional Practice,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
0853CM,Principles of Regenerative Building,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
0854CM,Essentials of Community Energy and Emissions Management,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
0855CM,Thermal Power Plant Simulation Proficiency,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
0856CM,Retrofit Solutions for Rural Communities,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
0857CM,Automotive Collision Estimator,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
0859CM,Sexual and Reproductive Health Foundations,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
0860CM,Heat Pump Maintenance and Troubleshooting,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
0861CM,Climate Changemakers Leadership Training,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
0862CM,Residential Air to Air Heat Pump Specialist,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
0864CM,Marine Business Essentials,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
0865CM,Introduction to Power Systems Protection Design,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
0866CM,Distribution Design for Electrical Utilities,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
0869CM,Occupational Health and Safety Essentials,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
0870CM,Sexual Health Rehabilitation,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
0872CM,Techniques for Crime & Intelligence Analysts (TCIA),ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
0873CM,Fundamentals in Polytechnic Teaching,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
0874CM,"Fundamentals in Architecture, Construction, and Engineering",UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
0875CM,Applied Additive Manufacturing,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
0876CM,Applied Mass Timber Engineering,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
100ADIPMA,Airline and Flight Operations Commercial Pilot (Fixed-Wing),ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
100BDIPMA,Airline and Flight Operations Commercial Pilot (Rotary-Wing),ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
1030CERTTS,Aircraft Gas Turbine Technician,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
1070ACERT,Airport Operations,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
1155ACERT,Construction Drawings,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
1165DIPMA,Aircraft Maintenance Engineer Category ‘E’ (Electronics),ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
1175DIPMA,Aviation Management and Operations,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
1180ACERT,Trades Discovery General,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
1190ACERT,Trades Discovery for Women,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
1195IPCERT,Advanced Gas Turbine,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
1205DIPMA,Aircraft Maintenance Engineer Category 'S' (Structures),ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
1230DIPMA,Aircraft Maintenance Engineer Category 'M' (Maintenance),ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
1255CERT,Auto Body Repair and Refinishing Technician Foundation,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
1320ADCERT,Automated Controls Installation and Maintenance,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
1355TTCERT,Automotive Technician Foundation,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
1360CERT,Automotive Technician (Honda/Acura Foundation),UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
1375TTCERT,Automotive Technician (Toyota Foundation),UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
1430DIPMA,Automotive Service Technician and Operations,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
143ADIPMA,Automotive Service Technician and Operations (Ford ASSET Option),UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
143BDIPMA,Automotive Service Technician and Operations - Non-Co-op Option,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
1450TTCERT,Boilermaker Foundation,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
1525TTDIPL,CNC Machinist Technician,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
1645CERT,Carpentry Framing and Forming Foundation,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
1685ACERT,Railway Conductor and Operations,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
1710CERTTS,Architectural and Structural CADD and Graphics Technician (Structural Option),ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
1720CERTTS,Architectural and Structural CADD and Graphics Technician (Architectural Option),ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
1780CERT,Electrical Foundation,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
1790ACERT,Hydronic Technician,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
1855DIPMA,Heavy Duty Truck Technology,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
1885ACERTS,Network Administrator Technician,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
1920CERT,Marine Mechanical Technician Foundation,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
1930DIPMA,Computer Information Systems Administration,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
1940CERT,Heavy Mechanical Trades Foundation,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
2000TTCERT,Ironworker Foundation,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
2020CERTTS,Chief Mate,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
2060CERT,Cabinetmaker (Joiner) Foundation,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
2175TTCERT,Machinist Foundation,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
2230CERT,Millwright Foundation,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
2365CERT,Motorcycle Technician Foundation,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
2410TTCERT,Power Engineering (General Program),ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
2425CERT,Refrigeration and Air Conditioning Mechanic Foundation,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
2430DIPMA,Power and Process Engineering,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
2440CERT,Piping Foundation,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
2505ACERTS,Master 150GT Domestic,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
2515ACERTS,Master 500GT Domestic,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
2522CERTTS,Master 3000GT Domestic,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
2536DIPMA,Nautical Sciences,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
2542CERTTS,Watchkeeping Mate Near Coastal (WKMNC),UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
2645CERT,Sheet Metal Worker Foundation,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
2825CERT,Metal Fabricator Foundation,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
2847CERT,Welder Foundation,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
2860TTCERT,"Welding, Level B",UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
2870TTCERT,"Welding, Level A",UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
2885ADVDIP,Marine Engineering,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
2915CERT,Security Systems Technician,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
2933ACERT,Bridge Watch Rating,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
2942DIPMA,Marine Engineering,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
2945DIPMA,Industrial Instrumentation and Process Control Technician,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
2958CERT,"Heating, Ventilation, Air Conditioning and Refrigeration Technician",UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
2992DIPMA,"Heating, Ventilation, Air Conditioning and Refrigeration Technician",UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
5063DIPMA,Biomedical Engineering Technology,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
5077CERT,Event Marketing and Management Strategy,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
5085ACERT,Project Management,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
5105DIPMA,Digital Communications and Wireless Technologies,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
5115ACERT,Music Business,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
5125ACERT,Business of Sawmilling,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
5140ACERT,Business Administration,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
5145ADCERT,Sustainable Business,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
5155DIPMA,"Food Processing, Safety, and Quality",ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
515GACERT,Building Construction Technology,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
515HACERT,Building Design and Architectural CAD,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
5160ACERT,Industrial Wood Processing,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
5165ADCERT,Digital Health,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
5170ACERT,Healthcare Unit Clerk,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
5175ACERT,Polytechnic Teaching,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
5180ADVDIP,Sustainable Business Leadership,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
5180PADVDIP,Sustainable Business Leadership,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
5205ACERT,Business Analysis,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
5225ACERT,Construction of Mass Timber Structures,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
5235ADCERT,Building Energy Modelling and Performance Analysis,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
5240ADVDIP,Technical Arts,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
5245ACERT,Artificial Intelligence Management,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
5265DIPMA,Industrial Network Cybersecurity,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
5275ACERT,Business Intelligence,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
528AADCERT,Forensic Investigation (Crime and Intelligence Analysis Option),ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
528BADCERT,Forensic Investigation (Forensic Science Option),ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
528CADCERT,Forensic Investigation (Digital Forensics and Cybersecurity Option),ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
5290ADVDIP,Professional Accounting,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
5295ACERT,Business Data Management,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
530ADIPLT,Cardiology Technology,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
5310ADCERT,Cardiac Sciences (Cardiovascular Technology Option),UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
5312ADVDIP,Business Management - Advanced Diploma,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
5320ADCERT,Cardiac Sciences (Electrophysiology Technology Option),UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
5325ACERT,Foundations in Occupational Health and Safety,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
5330ADCERT,Cardiac Sciences (Cardiac Rhythm Device Technology Option),UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
534ADIPMA,Electrical and Computer Engineering Technology (Automation and Instrumentation Option),ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
534BDIPMA,Electrical and Computer Engineering Technology (Electrical Power and Industrial Control Option),ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
534CDIPMA,Electrical and Computer Engineering Technology (Telecommunications and Networks Option),ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
5365ACERT,Digital Media Foundations,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
5375DIPMA,Chemical and Environmental Engineering Technology,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
5410DIPLT,Civil Engineering Diploma,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
5430ACERT,Civil Technology,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
5430CERT,Civil Technology,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
5440ADCERT,Geographic Information Systems,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
5500CERT,Computer Systems,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
5500DIPMA,Computer Systems Technology,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
5500PDIPLT,Computer Systems,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
5512CERT,Applied Data Analytics,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
5515ACERT,Applied Network Administration and Design,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
5530ACERT,Agile Development,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
5540DIPMA,Computer Information Technology,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
5570ACERT,Computer Aided Design (CAD) Technology,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
5670ADVDIP,Clinical Genetics Technology,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
5725ACERT,Computerized Accounting,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
5755ACERT,Occupational Health and Safety Practitioners,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
576ADIPMA,Diagnostic Medical Sonography (General Sonography Option),UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
576BDIPMA,Diagnostic Medical Sonography (Cardiac Sonography Option),UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
576CDIPMA,Diagnostic Medical Sonography (General and Cardiac Sonography Option),UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
5810DIPMA,Electroneurophysiology,UNKNOWN_NOT_PUBLISHED,UNKNOWN_NOT_PUBLISHED,[],True
585CMCERT,Financial Management (Finance Option),ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
585FMCERT,Financial Management (Professional Accounting Option),ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
585IACERT,Financial Management (Financial Planning),ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
5880DIPLT,General Insurance and Risk Management,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
5985ACERT,User Interface (UI) and User Experience (UX) Design,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
6005ACERT,Payroll and Human Resources,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
6008CERT,Payroll Administration,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
6030CERT,Architectural and Building Technology,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
6035DIPMA,Accounting,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
6035PDIPMA,Accounting,ACCEPTED_AVAILABLE,ACCEPTED_AVAILABLE,"[""ACCEPTED_AVAILABLE""]",True
